"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-19","0.00","51",,"35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-20","0.00","50","73","34"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-21","0.00","51","71","36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-22","0.00","49","69","44"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-23","0.01","49",,"42"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-24","0.00","49",,"43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-25","0.00","44",,"33"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-26","0.00","47",,"30"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-27","0.00","49","70","34"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-28","0.00","47","63","35"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-29","0.00","46","60","34"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-30","0.00","48",,"34"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-07-31","0.00","49","63","39"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-01","0.00","46","62","40"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-02","0.00","49",,"36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-03","0.00","49",,"32"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-04","0.00","47","68",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-05","0.00","48","55","43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-06","0.00","49",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-07","0.00","49","61","43"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-08","0.00","52",,"37"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-09","0.00","51","70","44"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-10","0.22","49","56","45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-11","0.20","46","54","44"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-12","0.24","43",,"33"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-13","0.00","46","54","40"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-14","0.00","48",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-15","0.00","48","64","38"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-16","0.00","50",,"36"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-17","0.00","52",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-18","0.00","48","72","41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-19","0.43","49",,"38"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-20","0.00","47",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-08-21","0.00","52",,"34"
